cycSecs,cycMps,cycGrade,cycRoadType
529,8.388888889,0,0
530,9.305555556,0,0
531,9.583333333,0,0
532,9.444444444,0,0
533,9.305555556,0,0
534,9.583333333,0,0
535,10.25,0,0
536,10.88888889,0,0
537,11.52777778,0,0
538,12.05555556,0,0
539,12.33333333,0,0
540,12.55555556,0,0
541,12.80555556,0,0
542,12.80555556,0,0
543,12.72222222,0,0
544,12.63888889,0,0
545,12.80555556,0,0
546,12.91666667,0,0
547,13.05555556,0,0
548,13.19444444,0,0
549,13.36111111,0,0
550,13.33333333,0,0
551,13,0,0
552,12.77777778,0,0
553,12.36111111,0,0
554,11.66666667,0,0
555,11.08333333,0,0
556,10.63888889,0,0
557,9.861111111,0,0
558,8.722222222,0,0
559,7.805555556,0,0
560,6.694444444,0,0
561,5.027777778,0,0
562,3.944444444,0,0
563,2.916666667,0,0
564,1.75,0,0
565,1.166666667,0,0
566,0.805555556,0,0
567,0.444444444,0,0
568,0,0,0
569,0,0,0
570,0,0,0
571,0,0,0
572,0,0,0
573,0,0,0
574,0,0,0
575,0,0,0
576,0,0,0
577,0,0,0
578,1.194444444,0,0
579,1.694444444,0,0
580,2.166666667,0,0
581,3,0,0
582,4.027777778,0,0
583,4.222222222,0,0
584,4.833333333,0,0
585,5.805555556,0,0
586,6.25,0,0
587,6.25,0,0
588,6.222222222,0,0
589,6.222222222,0,0
590,6.472222222,0,0
591,6.583333333,0,0
592,6.722222222,0,0
593,7.472222222,0,0
594,8.333333333,0,0
595,9.194444444,0,0
596,9.472222222,0,0
597,9.555555556,0,0
598,10.13888889,0,0
599,10.41666667,0,0
600,10.33333333,0,0
601,10.19444444,0,0
602,10.33333333,0,0
603,10.52777778,0,0
604,11,0,0
605,11.11111111,0,0
606,11.41666667,0,0
607,11.61111111,0,0
608,12,0,0
609,12.16666667,0,0
610,12.27777778,0,0
611,12.19444444,0,0
612,12.30555556,0,0
613,12.41666667,0,0
614,12.55555556,0,0
615,12.44444444,0,0
616,12.27777778,0,0
617,12.27777778,0,0
618,12.22222222,0,0
619,11.88888889,0,0
620,11.86111111,0,0
621,12,0,0
622,11.69444444,0,0
623,11.52777778,0,0
624,11.27777778,0,0
625,11.02777778,0,0
626,10.69444444,0,0
627,10.44444444,0,0
628,10.30555556,0,0
629,10.30555556,0,0
630,10.33333333,0,0
631,10.52777778,0,0
632,10.5,0,0
633,10.19444444,0,0
634,10.16666667,0,0
635,10.33333333,0,0
636,10.05555556,0,0
637,10.16666667,0,0
638,10.02777778,0,0
639,9.75,0,0
640,9.472222222,0,0
641,8.583333333,0,0
642,6.638888889,0,0
643,5.805555556,0,0
644,5.666666667,0,0
645,5.527777778,0,0
646,5.75,0,0
647,6.333333333,0,0
648,7,0,0
649,7.361111111,0,0
650,7.333333333,0,0
651,7.138888889,0,0
652,6.861111111,0,0
653,6.277777778,0,0
654,5.805555556,0,0
655,5.583333333,0,0
656,5.194444444,0,0
657,4.666666667,0,0
658,4.25,0,0
659,3.972222222,0,0
660,3.777777778,0,0
661,3.583333333,0,0
662,3.388888889,0,0
663,3.083333333,0,0
664,2.75,0,0
665,2.25,0,0
666,1.444444444,0,0
667,0.583333333,0,0
668,0,0,0
669,0,0,0
670,0,0,0
671,0,0,0
672,0,0,0
673,0,0,0
674,0,0,0
675,0,0,0
676,0,0,0
677,0,0,0
678,0,0,0
679,0,0,0
680,0,0,0
681,0,0,0
682,0,0,0
683,0,0,0
684,1.555555556,0,0
685,2.194444444,0,0
686,3.027777778,0,0
687,3.194444444,0,0
688,3.583333333,0,0
689,4.027777778,0,0
690,4.166666667,0,0
691,4.027777778,0,0
692,3.805555556,0,0
693,3.916666667,0,0
694,4.083333333,0,0
695,4.111111111,0,0
696,4.138888889,0,0
697,4.222222222,0,0
698,4.222222222,0,0
699,4.277777778,0,0
700,4.166666667,0,0
701,3.861111111,0,0
702,3.611111111,0,0
703,3.916666667,0,0
704,5.027777778,0,0
705,6.194444444,0,0
706,7.055555556,0,0
707,7.5,0,0
708,8.055555556,0,0
709,8.666666667,0,0
710,9.166666667,0,0
711,9.611111111,0,0
712,10.13888889,0,0
713,10.72222222,0,0
714,11.38888889,0,0
715,11.97222222,0,0
716,12.47222222,0,0
717,13.05555556,0,0
718,13.61111111,0,0
719,14.25,0,0
720,15.41666667,0,0
721,16.05555556,0,0
722,16.69444444,0,0
723,16.94444444,0,0
724,17.13888889,0,0
725,17.19444444,0,0
726,16.94444444,0,0
727,16.66666667,0,0
728,16.38888889,0,0
729,16.11111111,0,0
730,15.86111111,0,0
731,15.58333333,0,0
732,14.69444444,0,0
